Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Avery Dennison","AVY","13341.09","NYSE","12","Industrial Products","Containers - Paper and Packaging","171.08","9.43","9.5","10.4"
"Awaysis Capital, Inc.","AWCA","65.36","OTC","6","Finance","Real Estate - Operations",".1698","-.02","",""
"AllianceBernstein Global High Income Fund, Inc.","AWF","973.53","NYSE","3","Finance","Financial - Investment Funds","11.29","","",""
"Aspira Women's Health","AWHL","14.63","OTC","12","Medical","Medical - Instruments",".4103","-.93","",""
"Armstrong World Industries","AWI","8546.55","NYSE","12","Construction","Building Products - Miscellaneous","197.57","6.31","7.26","8.26"
"American Water Works","AWK","27885.44","NYSE","12","Utilities","Utility - Water Supply","142.93","5.39","5.72","6.15"
"American States Water","AWR","2863.15","NYSE","12","Utilities","Utility - Water Supply","74.35","3.17","3.28","3.48"
"Aware","AWRE","47.53","NSDQ","12","Computer and Technology","Internet - Software and Services","2.23","-.21","",""
"Avalon Holdings","AWX","9.94","AMEX","12","Industrial Products","Pollution Control","2.5484",".34","",""
"Axos Financial","AX","5160.01","NYSE","6","Finance","Financial - Miscellaneous Services","91.35","7.5","7.85","8.72"
"Axa","AXAHY","103088.01","OTC","12","Finance","Insurance - Multi line","46.53","3.89","4.72","4.68"
"AxoGen","AXGN","746.32","NSDQ","12","Medical","Medical - Instruments","16.22",".13",".26",".43"
"AXIL Brands, Inc.","AXIL","38.28","AMEX","5","Consumer Staples","Consumer Products - Staples","5.75",".1","",""
"Axiom Intelligence Acquisition Corp 1","AXIN","272.06","NSDQ","12","Unclassified","Unclassified","9.9776","","",""
"American Axle & Manufacturing Holdings","AXL","708.42","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","5.97",".51",".45",".58"
"Axon Enterprise","AXON","61382.63","NSDQ","12","Aerospace","Aerospace - Defense Equipment","781.9","5.94","6.93","8.18"
"American Express","AXP","227546.53","NYSE","12","Finance","Financial - Miscellaneous Services","326.99","13.35","15.28","17.38"
"AMREP","AXR","118.32","NYSE","4","Finance","Real Estate - Development","22.3","2.37","",""
"Axis Capital Holdings","AXS","7711.08","NYSE","12","Finance","Insurance - Property and Casualty","98.64","11.18","11.94","12.48"
